function,count,library
numpy.ones_like,6,matplotlib
numpy.ma.core.getmask,6,matplotlib
numpy.ma.core.MaskedArray.ravel,6,matplotlib
numpy.bincount,6,skimage
numpy.r_,6,matplotlib
numpy.isinf,6,matplotlib
numpy.linalg.norm,6,dask.array
numpy.int16.dtype,6,pandas
numpy.linalg.svd,6,skimage
numpy.maximum,6,pandas
numpy.ndarray.transpose,6,xarray
numpy.argmax,6,xarray
numpy.broadcast_arrays,6,dask.array
numpy.cumprod,6,pandas
numpy.ndarray.dot,6,dask.array
numpy.cos,6,pandas
numpy.ones_like,6,pandas
numpy.fabs,6,dask.array
numpy.minimum,6,pandas
numpy.float64.ndim,6,dask.array
numpy.modf,6,dask.array
numpy.add,6,xarray
numpy.atleast_3d,6,skimage
numpy.ndarray.strides,6,skimage
numpy.issubdtype,6,dask.array
numpy.where,6,xarray
numpy.finfo,6,pandas
numpy.timedelta64.dtype,6,pandas
numpy.isinf,6,dask.array
numpy.vectorize,6,pandas
numpy.ma.masked_all,6,pandas
numpy.real,6,dask.array
numpy.frexp,6,dask.array
numpy.percentile,5,xarray
numpy.uint16.dtype,5,pandas
numpy.float32.shape,5,dask.array
numpy.ma.array,5,skimage
numpy.exp2,5,pandas
numpy.bool_.shape,5,dask.array
numpy.ma.core.array,5,skimage
numpy.ix_,5,matplotlib
numpy.linalg.qr,5,dask.array
numpy.isscalar,5,matplotlib
numpy.int32,5,xarray
numpy.generic.astype,5,xarray
numpy.fft.irfft2,5,dask.array
numpy.nanmedian,5,dask.array
numpy.arcsin,5,pandas
numpy.complex128.shape,5,dask.array
numpy.searchsorted,5,pandas
numpy.arctan,5,pandas
numpy.random.mtrand.RandomState.uniform,5,dask.array
numpy.fft.ifft2,5,dask.array
numpy.random.mtrand.RandomState.choice,5,xarray
numpy.testing._private.utils.assert_equal,5,xarray
numpy.float,5,pandas
numpy.compress,5,pandas
numpy.rec,5,pandas
numpy.ma.nomask,5,matplotlib
numpy.percentile,5,skimage
numpy.floor,5,pandas
numpy.random.mtrand.RandomState.standard_normal,5,skimage
numpy.minimum,5,skimage
numpy.ndarray.fill,5,skimage
numpy.tile,5,dask.array
numpy.int16,5,matplotlib
numpy.min,5,matplotlib
numpy.intersect1d,5,pandas
numpy.issubdtype,5,matplotlib
numpy.ma.core.getdata,5,dask.array
numpy.logical_not,5,xarray
numpy.max,5,matplotlib
numpy.triu,5,dask.array
numpy.in1d,5,pandas
numpy.fft.fft,5,matplotlib
numpy.zeros_like,5,dask.array
numpy.linalg.svd,5,dask.array
numpy.angle,5,dask.array
numpy.copyto,5,matplotlib
numpy.matmul,5,dask.array
numpy.corrcoef,5,dask.array
numpy.square,5,skimage
numpy.rot90,5,skimage
numpy.full,5,xarray
numpy.ndindex,5,dask.array
numpy.indices,5,skimage
numpy.tri,5,skimage
numpy.ndarray.mean,5,xarray
numpy.prod,5,skimage
numpy.fft.irfftn,5,dask.array
numpy.cov,5,pandas
numpy.exp,5,dask.array
numpy.max,5,pandas
numpy.linalg,5,matplotlib
numpy.isreal,5,dask.array
numpy.ndarray.argmin,5,pandas
numpy.bool_,5,xarray
numpy.frombuffer,5,pandas
numpy.ufunc.reduce,5,skimage
numpy.int32,5,dask.array
numpy.int64.dtype,5,dask.array
numpy.ndarray.clip,5,dask.array
numpy.uint8,5,dask.array
numpy.complex128.ndim,5,dask.array
numpy.linalg.norm,5,skimage
numpy.float32.dtype,5,pandas
numpy.ndarray.argmax,5,skimage
numpy.empty_like,5,dask.array
numpy.prod,5,xarray
Type[numpy.ndarray].__name__,5,dask.array
numpy.testing._private.utils.assert_equal,5,matplotlib
numpy.log2,5,skimage
numpy.iinfo.max,5,skimage
numpy.count_nonzero,5,dask.array
numpy.logical_xor,5,pandas
numpy.ndarray.min,5,xarray
numpy.imag,5,dask.array
numpy.ndarray.max,5,xarray
numpy.dstack,5,dask.array
numpy.cosh,5,pandas
numpy.arcsinh,5,pandas
numpy.expand_dims,5,xarray
numpy.uint64.dtype,5,pandas
numpy.min_scalar_type,5,pandas
numpy.random.mtrand.RandomState,5,xarray
numpy.fft.ifftn,5,dask.array
numpy.rad2deg,5,pandas
numpy.int64.shape,5,dask.array
numpy.iscomplex,5,dask.array
numpy.moveaxis,5,skimage
numpy.arctanh,5,pandas
numpy.ndarray.argsort,4,matplotlib
numpy.sinh,4,dask.array
numpy.maximum,4,matplotlib
numpy.ndarray.argmin,4,matplotlib
numpy.cos,4,dask.array
numpy.tan,4,dask.array
numpy.ma.core.getmaskarray,4,matplotlib
numpy.dtype.type,4,dask.array
numpy.inf,4,dask.array
numpy.timedelta64.astype,4,pandas
numpy.generic.all,4,pandas
numpy.ma.core.MaskedArray.compressed,4,matplotlib
numpy.fliplr,4,skimage
numpy.deg2rad,4,dask.array
numpy.ndarray.std,4,pandas
numpy.conjugate,4,matplotlib
numpy.expm1,4,dask.array
numpy.ndarray.conj,4,skimage
numpy.putmask,4,matplotlib
numpy.ndarray.flags,4,xarray
numpy.dstack,4,matplotlib
numpy.linalg.norm,4,matplotlib
numpy.float32.ndim,4,dask.array
numpy.ones_like,4,dask.array
numpy.complexfloating,4,pandas
numpy.dtype.shape,4,dask.array
numpy.full,4,dask.array
numpy.ma.core.MaskedArray.all,4,matplotlib
numpy.negative,4,dask.array
numpy.ma.core.MaskedArray.mask,4,skimage
numpy.ndarray.copy,4,xarray
numpy.errstate,4,xarray
numpy.result_type,4,dask.array
numpy.int16,4,dask.array
numpy.zeros_like,4,xarray
numpy.ndarray.flat,4,dask.array
numpy.atleast_1d,4,skimage
numpy.dtype.kind,4,dask.array
numpy.testing.assert_allclose,4,skimage
numpy.searchsorted,4,dask.array
numpy.ndarray.flat,4,xarray
numpy.isin,4,dask.array
numpy.fft,4,matplotlib
numpy.log10,4,dask.array
numpy.NaN,4,xarray
numpy.ma.core.ravel,4,matplotlib
numpy.broadcast.shape,4,xarray
numpy.moveaxis,4,xarray
numpy.broadcast,4,xarray
numpy.ma.core.getmaskarray,4,dask.array
numpy.swapaxes,4,dask.array
numpy.ndarray.strides,4,matplotlib
numpy.ndarray.real,4,matplotlib
numpy.outer,4,dask.array
numpy.testing._private.utils.assert_array_equal,4,dask.array
numpy.angle,4,matplotlib
numpy.fabs,4,pandas
numpy.int32.shape,4,dask.array
numpy.testing.assert_allclose,4,matplotlib
numpy.int8,4,matplotlib
numpy.nanmean,4,dask.array
numpy.atleast_1d,4,dask.array
numpy.ceil,4,xarray
numpy.nanmean,4,xarray
numpy.int32.dtype,4,pandas
numpy.full_like,4,matplotlib
numpy.bool_.dtype,4,pandas
numpy.roll,4,matplotlib
numpy.str_.dtype,4,pandas
numpy.flatnonzero,4,skimage
numpy.gradient,4,xarray
numpy.radians,4,dask.array
numpy.integer,4,matplotlib
numpy.nanvar,4,xarray
numpy.ufunc,4,pandas
numpy.random.mtrand.RandomState.beta,4,pandas
numpy.promote_types,4,matplotlib
numpy.ndarray.searchsorted,4,matplotlib
numpy.diag,4,skimage
numpy.append,4,matplotlib
numpy.float16,4,pandas
numpy.ndarray.swapaxes,4,pandas
numpy.core.records.fromarrays,4,pandas
numpy.roll,4,pandas
numpy.broadcast_arrays,4,matplotlib
numpy.isfinite,4,skimage
numpy.histogram,4,skimage
numpy.expand_dims,4,pandas
numpy.median,4,skimage
numpy.round_,4,dask.array
numpy.eye,4,pandas
numpy.nonzero,4,matplotlib
numpy.linalg.det,4,skimage
numpy.inf,4,xarray
numpy.apply_along_axis,4,skimage
numpy.float_,4,skimage
numpy.complex_,4,pandas
Type[numpy.datetime64].__name__,4,pandas
numpy.interp,4,skimage
numpy.float16,4,skimage
numpy.frombuffer,4,matplotlib
numpy.full_like,4,dask.array
numpy.nanmin,4,xarray
numpy.ndarray.transpose,4,skimage
numpy.bitwise_or,4,pandas
numpy.signbit,4,dask.array
numpy.nanprod,4,pandas
numpy.size,4,pandas
numpy.ndarray.shape =,4,skimage
numpy.ravel,4,skimage
numpy.nanpercentile,4,xarray
numpy.nanmax,4,xarray
numpy.dtype.char,4,skimage
numpy.random.randn,4,xarray
numpy.add,4,skimage
numpy.log10,4,skimage
numpy.ndarray.copy,4,dask.array
numpy.matrix.ndim,4,dask.array
numpy.percentile,4,matplotlib
numpy.array_equal,4,skimage
numpy.tan,4,matplotlib
numpy.find_common_type,4,pandas
numpy.log2,4,pandas
numpy.sort,4,matplotlib
numpy.min_scalar_type,4,skimage
numpy.core.records.array,4,pandas
numpy.random.normal,4,skimage
numpy.shape,4,pandas
numpy.flagsobj.writeable,4,pandas
numpy.ndarray.cumsum,4,dask.array
numpy.flatnonzero,4,pandas
numpy.random.mtrand.RandomState.shuffle,3,pandas
numpy.clip,3,dask.array
numpy.arccos,3,dask.array
numpy.matrix.shape,3,dask.array
numpy.integer,3,dask.array
Type[numpy.float64].__name__,3,pandas
numpy.flip,3,dask.array
builtins.function.__module__,3,dask.array
numpy.may_share_memory,3,pandas
numpy.matrix.dtype,3,dask.array
numpy.timedelta64,3,dask.array
numpy.piecewise,3,dask.array
numpy.? (vectorized),3,dask.array
numpy.testing._private.utils.assert_array_less,3,matplotlib
numpy.choose,3,dask.array
numpy.arcsin,3,dask.array
numpy.log2,3,dask.array
numpy.trunc,3,dask.array
numpy.rint,3,dask.array
numpy.floor,3,dask.array
Type[numpy.timedelta64].__name__,3,pandas
numpy.load,3,dask.array
numpy.float64.dtype,3,dask.array
numpy.promote_types,3,pandas
numpy.hstack,3,pandas
numpy.ndarray.cumprod,3,dask.array
numpy.bool_.ndim,3,dask.array
numpy.arctan,3,dask.array
numpy.flagsobj.f_contiguous,3,pandas
numpy.generic.astype,3,dask.array
numpy.ndarray.transpose,3,dask.array
numpy.matrix,3,dask.array
numpy.product,3,pandas
numpy.place,3,pandas
numpy.int32.ndim,3,dask.array
numpy.take,3,dask.array
numpy.random.mtrand.RandomState.random_sample,3,pandas
numpy.repeat,3,dask.array
numpy.ma.core.fix_invalid,3,dask.array
numpy.ma.core.masked_values,3,dask.array
numpy.pad,3,dask.array
numpy.pi,3,pandas
numpy.ma.core.getmaskarray,3,pandas
numpy.random.random,3,pandas
numpy.vectorize,3,dask.array
numpy.round,3,pandas
numpy.linalg.lstsq,3,dask.array
numpy.isclose,3,dask.array
numpy.setdiff1d,3,pandas
numpy.reshape,3,pandas
numpy.isfinite,3,dask.array
numpy.log1p,3,pandas
numpy.squeeze,3,pandas
numpy.tan,3,pandas
numpy.arccos,3,pandas
numpy.divmod,3,pandas
numpy.sinh,3,pandas
numpy.tanh,3,pandas
numpy.arccosh,3,pandas
numpy.deg2rad,3,pandas
numpy.finfo.max,3,pandas
numpy.unravel_index,3,dask.array
numpy.abs,3,pandas
numpy.ndarray.std,3,dask.array
numpy.min,3,dask.array
numpy.ndarray.put,3,pandas
numpy.ufunc.__name__,3,dask.array
numpy.inv,3,dask.array
numpy.nanmedian,3,pandas
numpy.random.randn,3,pandas
numpy.moveaxis,3,dask.array
numpy.core,3,dask.array
numpy.core.numeric,3,dask.array
numpy.ndarray.swapaxes,3,dask.array
numpy.random.normal,3,dask.array
numpy.complex64,3,pandas
numpy.ndarray.sort,3,pandas
numpy.atleast_3d,3,dask.array
numpy.random.mtrand.RandomState.normal,3,pandas
numpy.int8.dtype,3,pandas
numpy.uint8.dtype,3,pandas
numpy.ma.testutils.assert_array_almost_equal,3,matplotlib
numpy.roll,3,dask.array
numpy.uint32.dtype,3,pandas
numpy.random.mtrand.RandomState.shuffle,3,dask.array
numpy.max,3,dask.array
numpy.fromiter,3,pandas
builtins.function.__name__,3,pandas
numpy.expm1,3,pandas
numpy.ndarray.newbyteorder,3,matplotlib
numpy.ma.masked,3,skimage
numpy.generic.astype,3,skimage
numpy.float,3,xarray
numpy.linalg.eig,3,skimage
numpy.cross,3,skimage
numpy.insert,3,skimage
numpy.lib.stride_tricks.as_strided,3,skimage
numpy.ndarray.sort,3,matplotlib
numpy.get_printoptions,3,xarray
numpy.float64.dtype,3,xarray
numpy.ma.core.power,3,matplotlib
numpy.unwrap,3,matplotlib
numpy.subtract,3,skimage
numpy.isclose,3,skimage
numpy.ndarray.argsort,3,skimage
builtins.str.rfind,3,xarray
numpy.min,3,skimage
numpy.ndarray.itemsize,3,skimage
numpy.core._multiarray_umath.normalize_axis_index,3,xarray
numpy.dstack,3,skimage
numpy.meshgrid,3,xarray
numpy.logspace,3,matplotlib
numpy.ogrid,3,matplotlib
numpy.ndindex,3,skimage
numpy.ma.masked_array,3,matplotlib
numpy.ndarray.item,3,matplotlib
numpy.apply_along_axis,3,matplotlib
numpy.ravel_multi_index,3,skimage
numpy.generic.item,3,matplotlib
builtins.bytes.find,3,xarray
numpy.atleast_2d,3,matplotlib
numpy.ma.MaskedArray,3,xarray
builtins.bytes.rfind,3,xarray
numpy.number,3,xarray
numpy.fft.fftshift,3,skimage
numpy.logical_or,3,matplotlib
numpy.complexfloating,3,xarray
numpy.minimum,3,matplotlib
numpy.ndarray.cumsum,3,matplotlib
numpy.r_,3,xarray
numpy.nonzero,3,xarray
numpy.nextafter,3,matplotlib
numpy.angle,3,skimage
numpy.testing._private.utils.assert_array_almost_equal_nulp,3,skimage
numpy.ma.masked_less_equal,3,matplotlib
numpy.dtype.metadata,3,xarray
numpy.cumsum,3,xarray
numpy.reshape,3,xarray
numpy.hanning,3,matplotlib
numpy.fmax,3,skimage
numpy.NaN,3,matplotlib
numpy.full_like,3,xarray
numpy.random.seed,3,skimage
builtins.str.find,3,xarray
numpy.minimum,3,xarray
numpy.nansum,3,xarray
numpy.tensordot,3,xarray
numpy.trapz,3,xarray
numpy.take,3,xarray
numpy.datetime64.dtype,3,xarray
numpy.ma.core.MaskedArray.mask,3,xarray
numpy.uint16,3,matplotlib
numpy.iinfo.min,3,skimage
numpy.ndarray.flatten,3,xarray
numpy.frexp,3,xarray
numpy.tile,3,xarray
numpy.ndarray.nonzero,3,skimage
numpy.flagsobj.writeable =,3,skimage
numpy.rad2deg,3,skimage
numpy.swapaxes,3,skimage
numpy.std,3,xarray
numpy.bytes_.dtype,2,pandas
numpy.ulonglong.dtype,2,pandas
numpy.complex64.dtype,2,pandas
numpy.set_printoptions,2,xarray
numpy.greater,2,pandas
numpy.dtype.hasobject,2,dask.array
numpy.sign,2,xarray
numpy.bool_.item,2,pandas
numpy.nanmedian,2,xarray
numpy.angle,2,xarray
numpy.isclose,2,pandas
numpy.int,2,pandas
numpy.random.uniform,2,pandas
numpy.isclose,2,xarray
numpy.flagsobj.writeable,2,xarray
numpy.ulonglong,2,pandas
numpy.bool,2,xarray
numpy.isfinite,2,xarray
numpy.dtype.isnative,2,xarray
numpy.unicode_,2,pandas
numpy.sqrt,2,xarray
numpy.random.mtrand.RandomState.normal,2,dask.array
numpy.isscalar,2,xarray
numpy.ndarray.take,2,xarray
numpy.ndarray.view,2,xarray
numpy.bytes_,2,pandas
numpy.ufunc.signature,2,dask.array
numpy.generic.any,2,xarray
numpy.ma.core.masked_invalid,2,xarray
numpy.linalg._umath_linalg,2,dask.array
numpy.exp,2,xarray
numpy.string_,2,xarray
numpy.ufunc.nin,2,xarray
numpy.ndarray.nonzero,2,xarray
numpy.swapaxes,2,xarray
numpy.interp,2,pandas
numpy.nanstd,2,xarray
numpy.loadtxt,2,pandas
numpy.ma.core.MaskedArray.mask,2,pandas
numpy.finfo.eps,2,pandas
numpy.generic,2,xarray
numpy.ndarray.tobytes,2,pandas
numpy.generic.item,2,xarray
numpy.int,2,xarray
numpy.lib.stride_tricks.as_strided,2,pandas
numpy.array_split,2,pandas
numpy.lib,2,pandas
numpy.lib.stride_tricks,2,pandas
numpy.ndarray.flatten,2,pandas
numpy.quantile,2,xarray
numpy.nanquantile,2,xarray
numpy.flatnonzero,2,xarray
numpy.datetime64.view,2,pandas
numpy.ma.core.MaskedArray.ndim,2,pandas
numpy.positive,2,pandas
numpy.ma.core.MaskedArray.soften_mask,2,pandas
numpy.ma.core.MaskedArray.harden_mask,2,pandas
numpy.ndarray.clip,2,xarray
numpy.result_type,2,xarray
numpy.core,2,pandas
numpy.int16,2,xarray
numpy.random.random,2,xarray
numpy.ma.core.MaskedArray,2,xarray
numpy.broadcast_to,2,xarray
numpy.array_equal,2,xarray
numpy.any,2,xarray
numpy.random.normal,2,pandas
numpy.intp,2,xarray
numpy.bool_.all,2,xarray
numpy.datetime64.astype,2,pandas
numpy.ma.core.MaskedArray,2,pandas
numpy.cumprod,2,xarray
numpy.vectorize,2,xarray
numpy.hstack,2,dask.array
numpy.ma.core.masked_outside,2,dask.array
numpy.ma.core.masked_inside,2,dask.array
numpy.ma.core.masked_not_equal,2,dask.array
numpy.ma.core.masked_less_equal,2,dask.array
numpy.ma.core.masked_greater_equal,2,dask.array
numpy.ma.core.masked_equal,2,dask.array
numpy.ma.core.masked_where,2,dask.array
numpy.ma.core.MaskedArray.fill_value,2,dask.array
numpy.ma.core.MaskedArray.mask,2,dask.array
numpy.uint8.ndim,2,dask.array
numpy.g,2,dask.array
builtins.function.__doc__,2,dask.array
numpy.seterr,2,skimage
numpy.ndarray.ptp,2,skimage
numpy.cbrt,2,skimage
numpy.can_cast,2,skimage
numpy.dtype.name,2,skimage
numpy.ndarray.repeat,2,dask.array
numpy.fromfunction,2,dask.array
numpy.meshgrid,2,dask.array
numpy.indices,2,dask.array
numpy.ndarray.cumsum,2,skimage
numpy.linalg.eigvals,2,dask.array
numpy.ma.core.set_fill_value,2,dask.array
numpy.ma.array,2,dask.array
numpy.random.mtrand.RandomState.multinomial,2,dask.array
numpy.generic.reshape,2,dask.array
numpy.frompyfunc,2,dask.array
numpy.sinc,2,dask.array
numpy.ufunc,2,dask.array
numpy.xlogy,2,dask.array
numpy.seterr,2,dask.array
numpy.iscomplexobj,2,dask.array
numpy.average,2,dask.array
numpy.False_,2,dask.array
numpy.argwhere,2,dask.array
numpy.ndarray.choose,2,dask.array
numpy.union1d,2,dask.array
numpy.random.choice,2,dask.array
numpy.iterable,2,dask.array
numpy.gradient,2,dask.array
numpy.apply_along_axis,2,dask.array
Type[numpy.float64].__module__,2,dask.array
numpy.rollaxis,2,dask.array
numpy.core.numeric.normalize_axis_tuple,2,dask.array
numpy.atleast_2d,2,dask.array
numpy.take_along_axis,2,dask.array
numpy.ndarray.argmin,2,dask.array
numpy.expand_dims,2,dask.array
numpy.logical_or,2,skimage
numpy.isinf,2,skimage
numpy.can_cast,2,dask.array
numpy.linalg.eigvalsh,2,skimage
numpy.fix,2,skimage
numpy.fft.fftfreq,2,skimage
numpy.testing._private.utils.assert_warns,2,skimage
numpy.ndarray.clip,2,skimage
numpy.conjugate,2,skimage
numpy.nonzero,2,dask.array
numpy.random.mtrand.RandomState.gamma,2,skimage
numpy.ma.core.MaskedArray.shape,2,skimage
numpy.int8,2,dask.array
numpy.float_,2,dask.array
numpy.object_,2,dask.array
numpy.ma.core.MaskedArray.fill_value,2,skimage
numpy.ufunc.at,2,pandas
numpy.tanh,2,skimage
numpy.ndim,2,skimage
numpy.searchsorted,2,skimage
numpy.dtype.fields,2,dask.array
numpy.ndarray.repeat,2,skimage
numpy.complex128,2,skimage
numpy.complex64,2,skimage
numpy.may_share_memory,2,skimage
numpy.random.choice,2,skimage
numpy.random.mtrand.RandomState.poisson,2,skimage
numpy.in1d,2,skimage
numpy.flagsobj.c_contiguous,2,skimage
numpy.finfo.resolution,2,skimage
numpy.save,2,dask.array
numpy.matrix.all,2,dask.array
numpy.promote_types,2,dask.array
numpy.linalg.solve,2,skimage
numpy.AxisError,2,dask.array
numpy.linalg.LinAlgError,2,skimage
numpy.ndarray.swapaxes,2,skimage
numpy.true_divide,2,skimage
numpy.signedinteger,2,skimage
numpy.testing.assert_almost_equal,2,skimage
numpy.ascontiguousarray,2,dask.array
numpy.flatnonzero,2,dask.array
numpy.ptp,2,skimage
numpy.sign,2,skimage
numpy.nan_to_num,2,dask.array
Type[numpy.matrix].__module__,2,dask.array
numpy.void.ndim,2,dask.array
numpy.bool_,2,dask.array
numpy.std,2,skimage
numpy.uint32.ndim,2,dask.array
numpy.complex64.ndim,2,dask.array
numpy.datetime64,2,dask.array
numpy.arctan,2,skimage
Type[numpy.int64].__name__,2,pandas
numpy.divmod,2,dask.array
numpy.random.randint,2,matplotlib
numpy.cov,2,matplotlib
numpy.imag,2,pandas
numpy.ufunc.reduce,2,matplotlib
numpy.ndarray.argmax,2,matplotlib
numpy.reshape,2,matplotlib
numpy.median,2,xarray
numpy.ones_like,2,xarray
builtins.str.lower,2,matplotlib
numpy.ndarray.std,2,xarray
numpy.float128,2,pandas
numpy.median,2,matplotlib
numpy.ma.getmask,2,matplotlib
numpy.random.RandomState,2,pandas
numpy.can_cast,2,pandas
numpy.complex,2,pandas
Type[numpy.ndarray].__array_ufunc__,2,pandas
numpy.testing.assert_array_almost_equal,2,matplotlib
numpy.linalg.LinAlgError,2,matplotlib
numpy.ndarray.flags,2,matplotlib
numpy.ma.MaskedArray,2,pandas
numpy.ufunc.at,2,matplotlib
numpy.add,2,matplotlib
numpy.ndarray.imag,2,matplotlib
numpy.ma.core.masked_less_equal,2,matplotlib
numpy.ma.core.MaskedArray.T,2,matplotlib
numpy.random.uniform,2,matplotlib
numpy.ndarray.ptp,2,matplotlib
numpy.ma.core,2,matplotlib
numpy.ndarray.repeat,2,matplotlib
numpy.longdouble,2,matplotlib
numpy.complex128.real,2,matplotlib
numpy.random.choice,2,xarray
numpy.ndarray.byteswap,2,matplotlib
numpy.signedinteger,2,pandas
numpy.ndarray.prod,2,pandas
numpy.ndarray.base,2,matplotlib
numpy.convolve,2,matplotlib
numpy.lib.stride_tricks.DummyArray.base,2,matplotlib
numpy.ma.core.getdata,2,matplotlib
numpy.dtype.isnative,2,matplotlib
numpy.multiply,2,pandas
numpy.searchsorted,2,matplotlib
numpy.cumproduct,2,pandas
numpy.ndarray.transpose,2,pandas
numpy.array_equal,2,matplotlib
numpy.linalg.inv,2,matplotlib
numpy.atleast_3d,2,matplotlib
numpy.ndarray.transpose,2,matplotlib
numpy.copy,2,matplotlib
numpy.float,2,matplotlib
numpy.c_,2,pandas
numpy.flagsobj.writeable =,2,matplotlib
numpy.bool_.ndim,2,pandas
numpy.can_cast,2,matplotlib
numpy.split,2,pandas
numpy.histogram,2,matplotlib
numpy.ceil,2,pandas
numpy.int64.ndim,2,pandas
numpy.random.PCG64,2,pandas
numpy.random._pcg64.PCG64,2,pandas
numpy.random.MT19937,2,pandas
numpy.identity,2,matplotlib
numpy.random._mt19937.MT19937,2,pandas
numpy.ma.asarray,2,matplotlib
numpy.unsignedinteger,2,pandas
numpy.prod,2,matplotlib
numpy.nanmean,2,pandas
numpy.random.mtrand.RandomState.randint,2,matplotlib
numpy.isreal,2,matplotlib
numpy.int64,2,matplotlib
numpy.ComplexWarning,2,pandas
numpy.arcsin,2,matplotlib
numpy.isfortran,2,matplotlib
numpy.iterable,2,pandas
numpy.lib.stride_tricks,2,matplotlib
numpy.lib,2,matplotlib
numpy.lib.stride_tricks.as_strided,2,matplotlib
numpy.around,2,pandas
numpy.insert,2,matplotlib
numpy.polynomial.hermite.__warningregistry__,1,skimage
numpy.ma.core.masked_less,1,dask.array
numpy.bitwise_xor,1,pandas
numpy.ma.core.MaskedArray.__class__,1,dask.array
numpy.polynomial.laguerre.__warningregistry__,1,skimage
numpy.ma.core.masked_greater,1,matplotlib
Type[numpy.datetime64].__mro__,1,matplotlib
numpy.random.mtrand.RandomState.random_sample,1,matplotlib
numpy.divide,1,skimage
numpy.random._common.__warningregistry__,1,skimage
numpy.less,1,skimage
numpy.datetime64.tzinfo,1,matplotlib
numpy.floating,1,dask.array
numpy.ma.core.MaskedArray.astype,1,dask.array
numpy.ndarray.ctypes,1,matplotlib
numpy.ma.core.MaskedArray.data,1,dask.array
numpy.random._bounded_integers.__warningregistry__,1,skimage
builtins.float.is_integer,1,dask.array
numpy.random.mtrand.__warningregistry__,1,skimage
numpy.core._internal._ctypes.data,1,matplotlib
numpy.random._pcg64.__warningregistry__,1,skimage
numpy.linalg.matrix_rank,1,dask.array
